weekend_id,airbnb_weekend_price,room_type,room_shared,person_capacity,cleanliness_rating,guest_satisfaction_overall,bedrooms,city_centre_dist,metro_dist,lng,lat
paris187,324.35455308043623,Entire home/apt,False,2.0,9.0,92.0,1,1.0444634271591888,0.2140926483735697,2.36477,48.8616
paris188,742.6134774909125,Entire home/apt,False,3.0,10.0,93.0,0,1.7427776627945977,0.2858242876847888,2.32899,48.85677
paris189,775.9343834467331,Entire home/apt,False,6.0,10.0,95.0,2,1.1300740301858354,0.1232543883647893,2.36625,48.86146
paris190,616.0872401901389,Entire home/apt,False,4.0,9.0,87.0,1,0.7744962336597384,0.2284941943868242,2.34436,48.8608
paris191,414.7637244850405,Entire home/apt,False,4.0,9.0,91.0,1,0.3667010183355603,0.3486920989884037,2.35648,48.85876
paris192,393.79252493242615,Entire home/apt,False,6.0,7.0,86.0,2,1.5496211588184758,0.0564111643885182,2.3483400000000003,48.8702
paris193,296.3929536769504,Entire home/apt,False,4.0,8.0,87.0,2,3.374163272462233,0.1384633413146703,2.32077,48.87839
paris194,414.7637244850405,Entire home/apt,False,4.0,10.0,93.0,1,1.4459481129718443,0.0246417234324609,2.35366,48.86956
paris195,283.5772206170193,Entire home/apt,False,2.0,10.0,91.0,0,0.784853263608429,0.3459223402092515,2.35802,48.86271
paris196,331.34495293130766,Entire home/apt,False,2.0,10.0,95.0,0,1.2184497737057645,0.1832404900282757,2.36378,48.86476
paris197,848.8675552241589,Entire home/apt,False,4.0,10.0,98.0,2,1.9689953453663207,0.1234911115805207,2.33619,48.87051
paris198,507.2700158449064,Entire home/apt,False,2.0,8.0,92.0,1,1.1120367537390732,0.2037606593686249,2.3482,48.86611
paris199,416.860844440302,Entire home/apt,False,4.0,9.0,90.0,1,1.6839428320940852,0.179587882336493,2.34277,48.87021
paris200,297.32500699039986,Private room,False,2.0,8.0,80.0,1,1.2758773864651962,0.0202570206174694,2.366,48.864
paris201,261.440954422593,Private room,False,2.0,10.0,98.0,1,1.275862292540224,0.0202562836962632,2.366,48.864
paris202,382.3748718426694,Private room,False,4.0,9.0,94.0,1,1.826577863493744,0.2108003528546544,2.35895,48.87248
paris203,254.6835679000839,Entire home/apt,False,2.0,9.0,96.0,1,1.258264575665762,0.2050061217313938,2.3532900000000003,48.86788
paris204,830.4595022835307,Entire home/apt,False,6.0,9.0,87.0,2,1.154403377019607,0.1295321279921731,2.35605,48.86672
paris205,359.0735390064312,Private room,False,2.0,10.0,99.0,1,2.052111429250388,0.1553984539100742,2.34,48.873000000000005
paris206,438.0650573212788,Entire home/apt,False,4.0,10.0,96.0,0,1.301211184044666,0.1679895613392018,2.35425,48.86823
paris207,657.7966259670053,Entire home/apt,False,5.0,9.0,94.0,1,1.1024957716467427,0.200465176894797,2.34762,48.86589
paris208,480.70649641159474,Entire home/apt,False,3.0,10.0,85.0,0,1.680202461789235,0.1164245720969507,2.34001,48.86913
paris209,183.38148942119489,Private room,False,2.0,9.0,81.0,1,1.907846706861016,0.1651687919666173,2.34462,48.87287
paris210,183.38148942119489,Private room,False,2.0,5.0,60.0,1,1.8492629230271524,0.1030264172459383,2.3446,48.87231
paris211,389.1322583651785,Entire home/apt,False,3.0,10.0,100.0,1,1.501330736970878,0.2042245683547269,2.34601,48.86932
paris212,457.4051635753565,Entire home/apt,False,5.0,9.0,91.0,1,1.0775428032362375,0.2670559709723197,2.34492,48.86477
paris213,333.4420728865691,Entire home/apt,False,2.0,10.0,90.0,1,1.2240562837714646,0.0795619507455606,2.34698,48.8669
paris214,289.4025538260789,Entire home/apt,False,2.0,10.0,100.0,0,1.629572129940201,0.1497350879896143,2.34603,48.870540000000005
paris215,248.85823469102436,Entire home/apt,False,2.0,9.0,96.0,0,1.4027789019349342,0.2131149037760164,2.35112,48.86914
paris216,219.96458197408893,Private room,False,2.0,9.0,99.0,1,1.4108868084086352,0.2588096757107825,2.35917,48.86853
paris217,308.04362009506946,Private room,False,2.0,10.0,91.0,1,2.7077728655421964,0.2650612826388568,2.321,48.869
paris218,345.0927393046882,Entire home/apt,False,4.0,9.0,89.0,1,1.2024093738300683,0.2221586910949657,2.36327,48.86486
paris219,312.7038866623171,Entire home/apt,False,2.0,10.0,100.0,1,1.790793436297336,0.0740994580396094,2.34344,48.87146
paris220,518.9206822630255,Entire home/apt,False,2.0,10.0,96.0,1,1.8903577926813684,0.2247461300399618,2.33412,48.86832
paris221,406.3752446639948,Entire home/apt,False,2.0,8.0,82.0,0,1.850143578609836,0.1122536503774372,2.331,48.865
paris222,532.9014819647684,Entire home/apt,False,4.0,10.0,95.0,1,1.3741150915195577,0.1949957717537973,2.34846,48.8686
paris223,390.5303383353528,Private room,False,2.0,8.0,87.0,1,1.246199022417664,0.0925321282532486,2.3649,48.8644
paris224,329.9468729611334,Entire home/apt,False,2.0,10.0,98.0,1,3.862820400531662,0.4260386633433589,2.30877,48.875690000000006
paris225,497.9494827104111,Entire home/apt,False,5.0,9.0,93.0,1,0.8348175731543456,0.1261911660710863,2.35227,48.86407
paris226,327.61673967750954,Entire home/apt,False,2.0,9.0,84.0,1,1.6167801657394811,0.089875345259334,2.33593,48.86597
paris227,289.4025538260789,Entire home/apt,False,2.0,10.0,98.0,1,1.0682896287959116,0.2251965388701636,2.34876,48.86581
paris228,327.61673967750954,Entire home/apt,False,2.0,9.0,94.0,1,1.326905920873418,0.1735873643983649,2.35927,48.8677
paris229,218.10047534718987,Private room,False,2.0,9.0,85.0,1,1.0537092104756984,0.196631306263302,2.33905,48.85371
paris230,497.9494827104111,Entire home/apt,False,4.0,9.0,93.0,1,0.5650971154804806,0.2413962371646123,2.34781,48.86047
paris231,489.7940162177277,Entire home/apt,False,5.0,10.0,97.0,1,1.0580248313115723,0.046893526807969,2.3567,48.86572
paris232,718.1470780128624,Entire home/apt,False,4.0,9.0,93.0,1,1.2732519285119577,0.4024424476409666,2.341,48.865
paris233,586.261534159754,Entire home/apt,False,2.0,9.0,94.0,1,1.9992986914479929,0.2498122035364855,2.3321,48.86831
paris234,370.7242054245503,Entire home/apt,False,2.0,10.0,100.0,1,0.8707135004379156,0.4390007446747497,2.3606,48.86244
paris235,460.90036350079225,Private room,False,2.0,10.0,100.0,1,2.422492509809315,0.2594138696596882,2.3280000000000003,48.871
paris236,504.9398825612825,Private room,False,2.0,10.0,100.0,1,2.422477210368025,0.2594209646035098,2.3280000000000003,48.871
paris237,593.018920682263,Private room,False,2.0,10.0,100.0,1,2.422508456740778,0.2594085041351938,2.3280000000000003,48.871
paris238,569.9506011743872,Private room,False,2.0,10.0,100.0,1,2.4224900733208603,0.2594088116652906,2.3280000000000003,48.871
paris239,548.9794016217728,Private room,False,2.0,10.0,100.0,1,2.422507907176543,0.2594016134348894,2.3280000000000003,48.871
paris240,637.0584397427533,Private room,False,2.0,10.0,100.0,1,2.422500759161798,0.2594208326932993,2.3280000000000003,48.871
paris241,681.3309721316059,Private room,False,2.0,10.0,100.0,1,2.422514955807607,0.2594091588783851,2.3280000000000003,48.871
paris242,1121.2601360797837,Private room,False,4.0,10.0,100.0,2,2.422491386663256,0.2594270551372274,2.3280000000000003,48.871
paris243,382.1418585143071,Entire home/apt,False,2.0,10.0,93.0,1,1.1281576176212214,0.2710658153743154,2.34486,48.86528
paris244,450.64777705284746,Entire home/apt,False,4.0,9.0,93.0,1,1.3632738176510613,0.2183072882134769,2.34916,48.8686
paris245,478.1433497996085,Entire home/apt,False,2.0,10.0,99.0,1,0.9256700267427668,0.1060768635085047,2.3453,48.86329
paris246,532.9014819647684,Entire home/apt,False,2.0,10.0,100.0,1,1.1595171049688824,0.169163641572548,2.346,48.86600000000001
paris247,473.7160965607233,Entire home/apt,False,4.0,9.0,84.0,1,1.9436716720953044,0.315551111656883,2.34717,48.87366
paris248,289.4025538260789,Entire home/apt,False,2.0,10.0,95.0,1,0.8148032160485924,0.2783562900853715,2.35744,48.86321
